state,district,disease,cases,deaths,start_date,report_date,status,comments,year,month,week
meghalaya,southwestgarohills,typhoid,20,0,2025-10-24,2025-10-28,under surveillance,"Cases of nausea, vomiting and fever were reported from Village Kalaichar, Sub-District Zikzak, District South West Garo Hills. District RRT investigated the outbreak. A house-to-house case search was conducted. The affected age group was 4-65 years. All 20 blood samples collected and sent to PHC Kalaichar, tested positive for S. typhi by Widal test. Chlorine tablets were distributed to the households. Community awareness and health education given by the peripheral team on safe drinking water and food habits, hygiene and sanitation.",2025,10,43
kerala,kozhikode,hepatitis,32,0,2025-10-24,2025-10-24,under surveillance,"Cases of loss of appetite, nausea and dark coloured urine were reported from Village Narippatta, Sub-District Vatakara, District Kozhikode. District RRT investigated the outbreak. House to house survey was done. Cases were treated at FHC Narippatta. 2 serum samples collected and sent to RPHL, tested positive for Hepatitis A (IgM ELISA). Cases were in the age group 3- 41 years. Chlorine tablets were distributed to the households. Community awareness and health education given by the peripheral team on safe drinking water and food habits, hygiene and sanitation.",2025,10,43
kerala,ernakulam,hepatitis,8,0,2025-10-24,2025-10-25,under surveillance,"Cases of fever with nausea, abdominal pain and loss of appetite were reported from Village Eramalloor (CT), Sub- District Kothamangalam, District Ernakulam. District RRT investigated the outbreak. Cases were students of Indhiragandhi Arts College residing at girls hostel. Probable cause of the outbreak was consumption of contaminated water from well. The affected age group was 19-22 years. 2 water samples collected from the well and packed drinking water (used in hostel) and samples were found to be positive for coliform bacteria. 1 serum sample collected and sent to RPH lab Ernakulam tested positive for Hepatitis A (IgM ELISA). Super chlorination of the well was done. Community awareness and health education given by the peripheral team on safe drinking water, hygiene and sanitation.",2025,10,43
goa,southgoa,food poisoning,23,0,2025-10-24,2025-10-24,under control,"Cases of loose motion and vomiting were reported from Village Xeldem (CT), Sub- District Quepem, District South Goa. District RRT investigated the outbreak. House to house survey was done. Medicine and ORS packets were given to cases. 6 cases were treated at health facilities. All cases recovered. Cases had consumed food in a community gathering 4-5 hours before the onset of symptoms. Cases were in the age group 4-73 years. Community awareness and health education given by the peripheral team on safe drinking water, hygiene and sanitation.",2025,10,43
kerala,kollam,chickenpox,80,0,2025-10-23,2025-10-27,under surveillance,"Cases of fever with rash were reported from Jawahar Navodaya Vidyalaya, Division 23, Kottarakara Municipality, Sub-District Kottarakkara, District Kollam. District RRT investigated the outbreak. Cases were from a residential school. All cases were treated symptomatically at a health camp established in the school premises. Cases were in the age group 11-17 years. Cases were clinically diagnosed and no sample was collected. School administration was advised to ensure 7 days isolation of symptomatic cases. Community awareness and health education given by the peripheral team on isolation of cases, hygiene maintenance and proper nutrition.",2025,10,43
uttar pradesh,farrukhabad,undifferentiated fever,37,1,2025-10-23,2025-10-25,under surveillance,"Cases of fever with body pain and fatigue were reported from Village Khudna Baid, Block Shamshabad, District Farrukhabad. District RRT investigated the outbreak. House to house fever survey was done. Cases were treated at a health camp established in the affected area. Cases were in the age group 15-70 years. All 36 blood samples collected, tested negative for Dengue (Rapid NS1). 1 death was reported in a Dengue positive (NS1 ELISA) patient aged 70-years-old female on 20-10-2025 at Charak hospital, Lucknow. Source reduction activities were done by the District Malaria team in coordination with Gram Pradhan. Community awareness and health education given by the peripheral team on vector control measures, hygiene and sanitation.",2025,10,43
west bengal,alipurduar,food poisoning,32,0,2025-10-23,2025-10-23,under surveillance,"Cases of loose watery stool were reported from Village Dimdim a Tea Garden, Sub- District Madarihat, District Alipurduar. District RRT investigated the outbreak. Cases consumed symptoms 4- 5 hours after consuming Kali Puja Prasad at Kali Puja Fair held at Santipara division under Dimdima T. G HWC. ORS, Metrogyl, Pan 40, anti- diarrheal medicine distributed among the affected people. 7 patients were treated at RH Madarihat. Majority of the cases were in the age group 5- 59 years. 4 stool & 3 rectal swab samples collected and sent to the North Bengal Medical College & Hospital Microbiology lab tested negative for cholera by culture. Community awareness and health education given by the peripheral team on safe food habits, hygiene and sanitation.",2025,10,43
west bengal,coochbehar,food poisoning,59,0,2025-10-23,2025-10-24,under control,"Cases of loose motion, vomiting and abdominal pain were reported from Village Gopalpur, Sub-District Cooch Behar - II, District Coochbehar. District RRT investigated the outbreak. Approximately 250 people consumed Prasad (Kichdi, Sabji, Payesh and Fruits) and 56 people developed symptoms 4-5 hours after consuming the food items. Cases were treated symptomatically at a medical camp established in the locality. 3 patients were treated at BPHC Pasckleguri and 3 patients were treated at RH Pundibari. 3 rectal swab samples collected and sent to MJN MCH showed growth of normal commensals. Community awareness and health education given by the peripheral team on safe food habits, hygiene and sanitation.",2025,10,43
kerala,malappuram,mpox,2,0,2025-10-23,2025-10-24,under surveillance,"Cases were reported from Village Vengara (CT), Sub- District Tirurangadi, District Malappuram. A 38-years-old male travelled to Kerala on 13/10/2025 from Ajman, UAE. On the next day (14/10/2025), he developed gastric discomfort and consulted a private hospital for the same. After a few days, he noticed two small blisters in the lower abdomen, followed by painful blisters in the genital region. On 21/10/2025, he consulted a private dermatologist in Chemmad, who clinically suspected Mpox and referred him to Manjeri Medical College for further evaluation and isolation. His wife, a 27- years-old female was also admitted in the isolation ward of the hospital. Samples of the patient and his wife were sent to NIV Pune, tested positive for Mpox (Clade I) by RT- PCR on 27.10.2025. Subsequently, both the cases tested negative for Mpox on 7.11.2025 and 15.11.2025. The male patient was discharged on 7.11.2025 and his wife was discharged on 17.11.2025. Public health actions included contact tracing and screening, isolation of the index case and his spouse at Manjeri Medical College, active surveillance of the residential area, and monitoring of all asymptomatic contacts.",2025,10,43
arunachal pradesh,westsiang,dengue,38,0,2025-10-22,2025-10-22,under surveillance,"Cases of fever with myalgia and fatigue were reported from Village New Market, Logum Jini, Aalo Yij, Medical Colony, Yoji - Yora, Darka, Puak Gumin and Bogdo, Sub- District Aalo HQ, District West Siang. District RRT investigated the outbreak. House to house fever survey was done in the affected area. Cases were treated at Zonal General Hospital Aalo. Out of 203 serum samples collected from 22.10.2025 to 12.11.2025 and sent to GH Aalo, 38 samples tested positive for Dengue (NS1 Ag ELISA). Cases were in the age group 2- 70 years. Anti-larval activities and fogging was done in the affected area. A coordination meeting on Dengue Outbreak involving DSU-IDSP team and DVBDCP team of West Siang District was held. Community awareness and health education given by the peripheral team on vector control measures, hygiene and sanitation.",2025,10,43
odisha,kendujhar,jaundice,11,0,2025-10-22,2025-10-22,under control,"Cases of loss of appetite and dark coloured urine were reported from Village Khadibil, CHC Fokirpur, District Kendujhar. District RRT investigated the outbreak. People followed open defecation and used the nearest water pond for their daily bath and washing purposes. People consumed tube well water for their drinking purpose. Cases were treated. 3 blood samples and 3 water samples were collected and sent to DPHL Kendujhar. Blood samples were tested by Anti-HAV IgM ELISA, and all were negative for Hepatitis A virus. Water samples tested positive for H₂S and showed OT <0.01 ppm. Cases were in the age group 7- 35 years. Chlorination of well water was done. Community awareness and health education given by the peripheral team on safe drinking water and food habits, hygiene and sanitation.",2025,10,43
uttar pradesh,fatehpur,food poisoning,9,0,2025-10-22,2025-10-22,"cases of abdominal pain with vomiting were reported from village manlaw, block haswa, sub-district fatehpur, district fatehpur. district rrt investigated the outbreak. the affected age group was 20-65 years. cases had consumed finger chips from a fast-food cart. soon after consuming the food, their health deteriorated, following which they were admitted to thariyaon chc for treatment. community awareness and health education given by the peripheral team on safe drinking water and food habits, hygiene and sanitation.",nan,2025,10,43
west bengal,purulia,acute diarrheal disease,19,0,2025-10-22,2025-10-22,under control,"Cases of loose watery stools were reported from Village Syampur, Sub-District Manbazar - I, District Purulia. District RRT investigated the outbreak. House to house survey was done. Tube-well is the source of drinking water in the locality. Medicine and ORS packets were given to cases. 9 patients were treated at RH Manbazar. 2 rectal swab samples collected and sent to Dept. of Microbiology, Bankura Sammilani Medical College and Hospital showed growth of normal commensal of GI Tract after overnight aerobic incubation at 37 degree C on culture. 2 water samples of tube well and 1 sample of pond collected (H2S vial) were contaminated. Chlorination of water sources was done. Community awareness and health education given by the peripheral team on safe drinking water, hygiene and sanitation.",2025,10,43
uttar pradesh,prayagraj,dengue,10,0,2025-10-22,2025-10-25,under surveillance,"Cases of fever with myalgia and fatigue were reported from Village Sarai Lahur (CT), Block Bahadurpur, District Prayagraj. District RRT investigated the outbreak. House to house fever survey was done. Cases were treated. Out of 10 blood samples collected, 1 sample tested positive for Dengue (NS1 Ag ELISA). Cases were in the age group 14-70 .years. Anti-larval activities and fogging was done. Community awareness and health education given by the peripheral team on vector control measures, hygiene and sanitation.",2025,10,43
himachal pradesh,mandi,hepatitis,50,0,2025-10-22,2025-10-22,"cases of fever with loss of appetite, nausea and abdominal pain were reported from village jamsai, sub-district sarkaghat, district mandi. district rrt investigated the outbreak. house to house survey was done. cases were treated at phc gopalpur. the affected age group was 1-42 years. out of 25 blood samples collected and tested sent to dphl, zh mandi, 10 samples tested positive for hepatitis a (igm elisa). out of 10 water samples collected, 2 samples were non- potable. cleaning of overhead tanks was done. chlorine tablets were distributed to the households. community awareness and health education given by the peripheral team on safe drinking water and food habits, hygiene and sanitation.",nan,2025,10,43
manipur,imphalwest,typhoid,35,0,2025-10-22,2025-10-22,"cases of fever with loss of appetite were reported from village thangmeiband, sub- district lamphelpat, district imphal west. district rrt investigated the outbreak. house to house survey was done. all cases were treated. the affected age group was 23- 80 years. all 35 blood samples collected from 10.11.2025 to 10.12.2025 tested positive for s. typhi by widal test. chlorination of water sources was done. community awareness and health education given by the peripheral team on safe drinking water and food habits, hygiene and sanitation.",nan,2025,10,43
madhya pradesh,panna,acute diarrheal disease,41,0,2025-10-22,2025-10-22,under surveillance,"Cases of loose motion and vomiting were reported from Village Badwara, Sub- District/District Panna. District RRT investigated the outbreak. Medicine and ORS packets were given to cases. Cases were in the age group 9-80 years. 2 water samples were collected and sent to the PHE Department. They were found to be potable. Chlorine tablets were distributed to the households. Community awareness and health education given by the peripheral team on safe drinking water, hygiene and sanitation.",2025,10,43
kerala,thrissur,food poisoning,151,0,2025-10-21,2025-10-21,under surveillance,"Cases of loose watery stools were reported from Village Parakkad (CT), Veluthur (CT), Adat (CT), Tholur (CT), Chalakkal, Sub- District/District Thrissur. District RRT investigated the outbreak. Epidemiological investigation revealed a common exposure to food and drinking water served during the Nagathan Kavu Temple festival held on 16th October, 2025 suggesting a probable food or water borne source. Cases were treated at CHC Tholur. Cases were in the age group 1-77 years. ORS packets were given to cases. All cases recovered. 2 Stool samples collected, tested negative for Salmonella, Shigella, and Vibrio cholerae, while the temple well water sample showed heavy coliform contamination (>180 MPN/mL), confirming fecal contamination and identifying the drinking water as the likely source. Superchlorination of water sources was done. Community awareness and health education given by the peripheral team on safe drinking water and food habits, hygiene and sanitation.",2025,10,43
kerala,ernakulam,mumps,29,0,2025-10-21,2025-10-21,"cases of fever with parotid gland swelling were reported from village kottappady, sub- district kothamangalam, district ernakulam. district rrt investigated the outbreak. cases were students of st. george english medium school, ward xi of kottapady gramapanchayath. all affected students were of ukg and ist standard. symptomatic treatment was given to cases. community awareness and health education given by the peripheral team on isolation of cases, proper hydration, hygiene maintenance and sanitation.",nan,2025,10,43
kerala,kozhikode,hepatitis,53,0,2025-10-21,2025-10-28,under surveillance,"Cases of nausea, fatigue and abdominal pain were reported from Ladies hostel of Farook college, Sub-District/District Kozhikode. District RRT investigated the outbreak. Cases were treated at FHC Ramanattukara. 3 serum samples collected and sent to MES Medical college, Nucleus Hospital Nadapuram and THQ Peravoor, tested positive for Hepatitis A (Anti HAV IgM ELISA). Cases were in the age group 17-21 years. Open well water analysis from IDB Ladies Hostel, Farook College showed the presence of Coliforms. Overhead tanks were cleaned and chlorination of water sources was done. Community awareness and health education given by the peripheral team on safe drinking water, hygiene and sanitation.",2025,10,43
chhattisgarh,narayanpur,acute diarrheal disease,25,5,2025-10-21,2025-10-24,under surveillance,"Cases of loose watery stools and vomiting were reported from Village Ghot, Sub- District Orchha, District Narayanpur. District RRT investigated the outbreak. House to house survey was done. A health camp was established in the locality. Medicines and ORS packets were given to cases. Majority of the cases were in the age group 15-44 years. 2 water samples were collected and sent to PHE Narayanpur for bacteriological test, all samples were found to be contaminated. 5 deaths were reported: 3-months-old female and two 25-years-old-females on 14.10.2025, 24-years-old- male on 15.10.2025 and 45- years-old-female died on 16.10.2025 due to severe dehydration and shock. Chlorination of water sources was done by the gram panchayat team. Community awareness and health education given by the peripheral team on safe drinking water and food habits, hygiene and sanitation.",2025,10,43
kerala,kottayam,acute diarrheal disease,13,0,2025-10-21,2025-10-23,under control,"Cases of abdominal pain, loose stools, nausea and vomiting were reported from Galaxy Inn Brilliant Hostel, ward 9 of Mutholy Grama panchayath, Sub-District Meenachil, District Kottayam. District RRT investigated the outbreak. Symptomatic treatment was given to cases. The affected age group was 18 to 23 years. Water samples collected from the hostel showed absence of E. coli and coliforms. Overhead tanks were cleaned. Chlorination of water sources was done. Inspection of pipeline leakages was done. Community awareness and health education given by the peripheral team on safe drinking water, hygiene and sanitation.",2025,10,43
west bengal,coochbehar,dengue,20,0,2025-10-20,2025-10-20,"cases of fever with myalgia and fatigue were reported from village dhalpal, sub-district tufanganj - i, district coochbehar. house to house fever survey was done. cases were treated at natabari rural hospital and mjnmch. all cases tested negative for malaria by rdk. all 12 blood samples collected, tested positive for dengue (ns1 elisa). further, 7 serum samples were collected, tested positive for dengue (igm elisa). entomological indices revealed: larval dip: 7, hi: 2.70, ci: 4.68, bi: 29.72 and pmhd: 0.66. anti-larval activities and fogging was done. community awareness and health education given by the peripheral team on vector control measures, hygiene and sanitation.",nan,2025,10,43
jammu and kashmir,kathua,dengue,26,0,2025-10-20,2025-10-20,under surveillance,"Cases of fever with myalgia and fatigue were reported from Village Hamirpur, Sub-District Hiranagar, District Kathua. District RRT investigated the outbreak. House to house fever survey was done. Cases were treated. All 26 blood samples collected from 02.09.2025 to 10.11.2025 and sent to IDSP- DPHL Kathua tested positive for Dengue (NS1 Ag ELISA). Cases were in the age group 9- 60 years. Anti-larval activities and fogging was done. Community awareness and health education given by the peripheral team on vector control measures, hygiene and sanitation.",2025,10,43
madhya pradesh,barwani,acute gastroenteritis,27,0,2025-10-20,2025-10-21,under surveillance,"Cases of loose motion and vomiting were reported from Village Sajwani, CHC Silawad, Sub-District/District Barwani. District RRT investigated the outbreak. Symptomatic treatment was given to cases. ORS packets were given to cases. 2 water samples collected and sent to the District Public Health Laboratory. Indore showed growth of Coliform bacteria, E.coli, Klebsiella Citrobacter species on culture after 48 hours of incubation. Cases were in the age group 10-45 years. Chlorination of water sources was done in the locality. Community awareness and health education was given by the peripheral team on safe drinking water, hygiene and sanitation.",2025,10,43
maharashtra,bhandara,scrub typhus,12,0,2025-10-20,2025-10-20,under surveillance,"Cases of fever with body pain were reported from Village Bothali, Sub-District Lakhandur, District Bhandara. District RRT investigated the outbreak. Cases were treated at PHC Barwha Tal. Out of 12 blood samples collected and sent to AIIMS Nagpur, 3 samples tested positive for O. tsutsugamushi (IgM ELISA). Cases were in the age group 23-82 years. Community awareness and health education given by the peripheral team on vector control measures, hygiene and sanitation.",2025,10,43
tamil nadu,vellore,food poisoning,12,0,2025-10-19,2025-10-22,under control,"Cases of loose motion and vomiting were reported from Village Virinchipuram, Sathiya mangalam and Poigai, Sub-District Anaicut, District Vellore. District RRT investigated the outbreak. Cases developed symptoms after consuming chicken fry from a fast food restaurant on 18.10.2025. Cases were treated at Narayani Hospital. Community awareness and health education was given by the peripheral team on safe food habits, hygiene and sanitation.",2025,10,42
manipur,imphalwest,typhoid,26,0,2025-10-18,2025-10-18,"cases of fever with nausea and loss of appetite were reported from village govinda gram wakching khul, sub-district wangoi, district imphal west. cases are presented with typhoid. district rrt investigated the outbreak. cases were treated at health facilities. the affected age group was 5-66 years. all 26 blood samples collected from 27.10.2025 to 02.12.2025 tested positive for s. typhi by widal test. chlorine tablets were distributed to the households. community awareness and health education given by the peripheral team on safe drinking water and food habits, hygiene and sanitation.",nan,2025,10,42
andhra pradesh,palnadu,acute diarrheal disease,11,0,2025-10-18,2025-10-30,under control,"Cases of loose motion were reported from SC Colony, Village Guttikonda, Sub- District Piduguralla, District Palnadu. District RRT investigated the outbreak. The affected age group was 5-61 years. All 11 cases were treated at health facilities. 5 water samples were collected and sent to Regional Laboratory, Guntur for water testing. 2 stool samples were collected and sent to GMC Guntur. 3 water samples were bacteriologically unsatisfactory and no pathogenic organism could be isolated from the stool samples. Chlorination of water sources was done. Community awareness and health education given by the peripheral team on safe drinking water and food habits, hygiene and sanitation.",2025,10,42
nagaland,noklak,malaria,24,0,2025-10-18,2025-10-18,"cases of fever with body pain were reported from nokhu village, noklak headquarters, pangsha (old), dan, lengnyu, and wansoi village, sub-district noklak, district noklak. district rrt investigated the outbreak. adults were affected. patients were treated at noklak district hospital. all 22 blood samples collected from 08.11.2025 to 27.11.25 tested positive for p. vivax (rdt). fogging was done in the affected area. community awareness and health education given by the peripheral team on vector control measures, hygiene and sanitation.",nan,2025,10,42
kerala,ernakulam,chickenpox,13,0,2025-10-18,2025-10-18,under surveillance,"Cases of fever with rash were reported from Village Mookkannoor, Sub-District Aluva, District Ernakulam. District RRT investigated the outbreak. Most of the cases were hostlers at FISAT Engineering College, Mokkannur. Symptomatic treatment was given to cases. The affected age group was 19 to 22 years. Community awareness and health education given by the peripheral team on isolation of cases, hygiene maintenance and proper nutrition.",2025,10,42
uttar pradesh,ghaziabad,acute diarrheal disease,68,0,2025-10-18,2025-10-22,under control,"Cases of loose motion were reported from Industrial Area Yadav Nagar, District Ghaziabad. District RRT investigated the outbreak. Possible cause of the outbreak was consumption of contaminated water. Cases were treated at a health camp established in the locality. ORS packets were given to cases. Cases were in the age group 3-77 years. Out of 7 water samples collected, 1 sample tested positive for E. coli. Overhead tanks were cleaned and chlorination of water sources was done. Community awareness and health education given by the peripheral team on safe drinking water, hygiene and sanitation.",2025,10,42
andhra pradesh,parvathipurammanyam,undifferentiated fever,20,0,2025-10-17,2025-10-21,under surveillance,"Cases of fever were reported from Village Mettavalasa Thonam, Antivalasa, Maraipadu, Laxmipuram and Pakeerunayunibodda Valasa, Sub-District Salur, District Parvathipuram Manyam. District RRT investigated the outbreak. House to house survey was done. Cases were treated at a medical camp established in the locality and at AH Saluru. Cases were in the age group 10-70 years. 4 blood samples collected tested negative for Malaria (MPBS). 3 water samples were tested at gram panchayat level and 2 water samples at Regional public health lab Visakhapatnam. All water samples were satisfactory for human consumption. Chlorine tablets were distributed to the households. Community awareness and health education given by the peripheral team on safe drinking water and food habits, vector control measures, hygiene and sanitation.",2025,10,42
jammu and kashmir,kathua,dengue,15,0,2025-10-17,2025-10-17,under surveillance,"Cases of fever with myalgia and fatigue were reported from Village Hatli, Sub-District Kathua, District Kathua. District RRT investigated the outbreak. House to house fever survey was done. Cases were treated. All 15 blood samples collected and sent to IDSP-DPHL Kathua, 15 samples tested positive for Dengue (IgM ELISA). Cases were in the age group 5-48 years. Anti- larval activities and fogging was done. Community awareness and health education given by the peripheral team on vector control measures, hygiene and sanitation.",2025,10,42
maharashtra,nanded,acute diarrheal disease,97,0,2025-10-17,2025-10-18,under surveillance,"Cases of loose emotion, vomiting and abdominal pain were reported from Village: Chainapur Tanda, Sub-District Ardhapur, District Nanded. District RRT investigated the outbreak. House to house survey was done. Symptomatic treatment was given to cases. 22 patients were treated at RH Ardhapur. Cases were in the age group 16-60 years. Out of 6 water samples collected and sent to DPHL Lab, 1 sample was non- potable. Chlorination of water sources was done. Community awareness and health education given by the peripheral team on safe drinking water, hygiene and sanitation.",2025,10,42
kerala,thrissur,food poisoning,20,0,2025-10-17,2025-10-18,under surveillance,"Cases of loss of appetite, nausea and abdominal pain were reported from Village Thrissur, Sub-District Thrissur, District Thrissur. District RRT investigated the outbreak. House to house survey was done. A cluster of 20 cases were reported following a marriage function held on 10-09-2025 at CSI Church Hall Thrissur. Epidemiological investigation indicated a common point-source exposure, likely related to food and water served at the event. Cases were treated at PHC Koorkanchery. Cases were in the age group 13-36 years. Health education on sanitation and safe water practices was given. Environmental samples from wells and catering- related water sources collected for bacteriological testing were potable. Superchlorination of wells was done. Community awareness and health education given by the peripheral team on safe drinking water and food habits, hygiene and sanitation.",2025,10,42
assam,barpeta,undifferentiated fever,12,0,2025-10-17,2025-10-17,under control,"Cases of fever were reported from Village Joti Gaon, Sub-District Barpeta, District Barpeta. District RRT investigated the outbreak. The affected age group was 1-70 years. Cases were treated. All 12 blood samples collected tested negative for malaria (RDT). Fogging was done in the affected area. Community awareness and health education given by the peripheral team on vector control measures, hygiene and sanitation.",2025,10,42
kerala,ernakulam,chickenpox,10,0,2025-10-17,2025-10-18,under surveillance,"Cases of fever with rash were reported from Village Mulamt huruthy (CT), Edakkat tuvayal & Amballur (CT), Sub- District Kanayannur, District Ernakulam. District RRT investigated the outbreak. Cases were students of 3rd year Toc H Engineering College. All cases were symptomatically treated at various hospitals. The affected age group was 19 to 22 years. Community awareness and health education given by peripheral team on isolation of cases, hygiene maintenance and proper nutrition.",2025,10,42
maharashtra,gadchiroli,acute diarrheal disease,31,0,2025-10-17,2025-10-17,under control,"Cases of loose motion and vomiting were reported from Village Garanji, Sub- District Chamorshi, District Gadchiroli. District RRT investigated the outbreak. House to house survey was done. Cases were treated at PHC Regadi. Cases were in the age group 2-60 years. ORS packets were given to cases. Chlorine tablets were distributed to the households. 1 water sample was collected and sent to DPHL Lab Gadchiroli was potable. Community awareness and health education given by the peripheral team on safe drinking water, hygiene and sanitation.",2025,10,42
madhya pradesh,eastnimar,undifferentiated fever,10,0,2025-10-16,2025-10-16,under surveillance,"Cases of fever were reported from Village Piplodkhas, Sub-District Pandhana, District East Nimar. District RRT investigated the outbreak. House to house fever survey was done. Cases were treated at PHC Piplodkhas. Cases were in the age group 18-27 years. All 10 blood samples collected tested negative for Malaria (RDT). Anti- larval activities and fogging was done in the affected area. Community awareness and health education given by the peripheral team on vector control measures, hygiene and sanitation.",2025,10,42
kerala,ernakulam,acute gastroenteritis,290,0,2025-10-16,2025-10-18,under surveillance,"Cases of fever, headache, abdominal pain, vomiting (4-5 episodes) and loose stools (4-8 episodes) were reported from Darul Salam Public school, Kumarapuram, Village Kunnat hunad (CT), Sub- District Kunnathunad, District Ernakulam. Most of the cases were students of LKG, UKG and 1st standard. Cases were treated at a health camp established in the school premises. 18 cases were treated at Samaritan hospital and Carmal Hospital Aluva. 3 stool samples collected from the symptomatic cases and sent to NIV Alleppey tested positive for Rota virus. 2 water samples collected from the well, and water purifier and sent to Regional public health Lab Ernakulam, tested positive for coliform bacteria on bacteriological analysis. Super chlorination of the well was conducted at the School campus with the support of field staff. Sensitization was given to parents and teachers regarding the importance of hand hygiene and disinfection of infected surfaces.",2025,10,42
uttar pradesh,hardoi,scrub typhus,71,0,2025-10-16,2025-10-16,under surveillance,"Cases of fever with joint pain were reported from Village Nizampur and Sawaizpur, Sub-District Sawayajpur, District Hardoi. District RRT investigated the outbreak. House to house fever survey was done. Cases were treated at a health camp established in the locality and at CHC Harpalpur. Cases were in the age group 2-84 years. Out of 70 blood samples collected, 5 samples tested positive for O. tsutsugamushi (RDT). Anti-larval activities and fogging was done in the affected area. Community awareness and health education given by the peripheral team on vector control measures, hygiene and sanitation.",2025,10,42
maharashtra,parbhani,acute diarrheal disease,242,0,2025-10-16,2025-10-16,under surveillance,"Cases of loose watery stools were reported from Village Kok & Bori, Sub- District Jintur, District Parbhani. District RRT investigated the outbreak. House to house survey was done. It was observed that people consumed water from a well in the village. A medical camp was established in the affected area. Medicine and ORS packets was given to cases. Superchlorination of the well was done by the gram panchayat. People were advised to use boiled water for drinking purpose. Cases were in the age group 1-80 years. All 5 stool samples collected and sent to DPHL Parbhani tested negative for cholera by culture. Out of 5 water samples collected, 2 samples were unfit for drinking purpose. Community awareness and health education given by the peripheral team on safe drinking water, hygiene and sanitation.",2025,10,42
chhattisgarh,bilaspur,hepatitis,13,0,2025-10-15,2025-10-16,under surveillance,"Cases of fever with loss of appetite and nausea were reported from Magarpara area of Bilaspur city, UPHC Gandhichowk, District Bilaspur. District RRT investigated the outbreak. House to house survey was done. Symptomatic treatment was given to cases. Cases were in the age group 5-65 years. Out of 10 blood samples collected and sent to CIMS Bilaspur, 8 samples tested positive for Hepatitis A (IgM ELISA). Chlorine tablets were distributed to the households. Community awareness and health education given by the peripheral team on safe drinking water, hygiene and sanitation.",2025,10,42
himachal pradesh,una,dengue,40,0,2025-10-15,2025-10-16,under surveillance,"Cases of fever with muscle pain and fatigue were reported from Village Santoshgarh, Block Basdehra, District Una. District RRT investigated the outbreak. House to house fever survey was done. Cases were treated at a medical camp established in the locality. Cases were in the age group 10-77 years. All 40 blood samples collected from 22.09.25 to 27.10.25 tested positive for Dengue (Rapid NS1). Anti-larval activities were done. Community awareness and health education given by the peripheral team on vector control measures, hygiene and sanitation.",2025,10,42
west bengal,purulia,acute diarrheal disease,34,0,2025-10-15,2025-10-16,under control,"Cases of loose motion and vomiting were reported from Village Rudra, Sub- District Purulia - I, District Purulia. District RRT investigated the outbreak. Population of the affected area was 2000. Tube-well was the source of drinking water. Symptomatic treatment was given to cases. 10 patients were treated at PHC Lagda. Cases were in the age group 1-87 years. 2 rectal swab samples were collected and sent to the Department of Microbiology, Bankura Sammilani Medical College & Hospital, where culture reports showed only normal commensals. Superchlorination of the tubewell was done. Community awareness and health education given by the peripheral team on safe drinking, hygiene and sanitation.",2025,10,42
west bengal,hooghly,chikungunya,29,0,2025-10-15,2025-10-16,under control,"Cases of fever with joint pain were reported from Village Jarura, Sub-District Polba - Dadpur, District Hooghly. District RRT investigated the outbreak. House to house fever survey was done. Cases were treated at RH Polba and DH Imambara. Cases were in the age group 14- 68 years. All 4 blood samples collected tested positive for Chikungunya (IgM ELISA). Anti-larval activities were done. Community awareness and health education given by the peripheral team on vector control measures, hygiene and sanitation.",2025,10,42
manipur,kamjong,typhoid,12,0,2025-10-15,2025-10-16,under surveillance,"Cases of fever were reported from Village Molvailup, Sub- District/District Kamjong. District RRT investigated the outbreak. House to house survey was done. Cases were treated at DH Kamjong. Out of 12 blood samples collected, 5 samples tested positive for Typhoid (Typhidot RDT). Cases were in the age group 3-56 years. IEC was done on hand hygiene and use of boiled water for drinking purpose. Community awareness and health education given by the peripheral team on safe drinking water and food habits, hygiene and sanitation.",2025,10,42
uttar pradesh,pilibhit,undifferentiated fever,152,2,2025-10-15,2025-10-15,"cases of fever with chills were reported from village eintaroda, sub-district barkhera, district pilibhit. district rrt investigated the outbreak. active search for fever cases was done in the affected area. cases were treated. 15 blood samples were collected and tested for malaria. all samples were negative. out of 152 blood samples tested for dengue by rapid card test, 7 samples were positive. out of 93 blood samples tested for typhoid, 12 samples were positive for s. typhi by widal test. 2 deaths were reported: 1. a 70- years-old-male with multi-organ failure secondary to febrile tcp and intracerebral hemorrhage with respiratory distress and neurological symptoms on 16.10.2025 and a 70-years-old-male, positive for malaria (pv) with sepsis with dic on 01.11.2025. fogging was done in the affected area. chlorine tablets were distributed to the households. community awareness and health education given by the peripheral team on vector control measures, hygiene and sanitation.",nan,2025,10,42
kerala,ernakulam,hepatitis,13,0,2025-10-15,2025-10-17,under surveillance,"Cases of fever with nausea, abdominal pain and fatigue were reported from Ward 38, Karimakkad area, Thrikkakara Municipality, Sub-District Kanayannur, District Ernakulam. District RRT investigated the outbreak. Cases consumed water from a common well. Cases were treated at UPHC Thrikkakkara. The age group of the cases was 10- 37 years. 1 serum sample collected and sent to RPH Lab tested positive for Hepatitis A (IgM ELISA). Chlorination of well was done. Community awareness and health education given by the peripheral team on safe drinking water, hygiene and sanitation.",2025,10,42
